Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Jordanie;Bananes;vegetale;11;6.91;0.09;0.19;56;;;0;14;50;6;42;;;
Lituanie;Pommes;vegetale;7;7.68;0.02;0.05;56;2;;112;105;23;;63;;31;0
Luxembourg;Oranges, Mandarines;vegetale;48;104.76;0.08;0.77;56;;;10;66;56;0;;;;
Madagascar;Huile de Palme;vegetale;10;0.39;1.08;;56;;47;1;52;9;;4;;;0
Namibie;Orge;vegetale;0;0;;;56;0;1;0;49;0;;;;55;7
Népal;Abats Comestible;animale;6;2;0.17;0.97;56;;;;0;56;;56;;;
Portugal;Café;vegetale;6;5.28;;0.78;56;;;18;74;56;;;;;
Tchad;Bière;vegetale;5;4.33;;0.06;56;;;;1;56;;55;;;
Trinité-et-Tobago;Fruits, Autres;vegetale;46;41.51;0.48;0.5;56;;;8;18;56;0;46;;;0
Zambie;Huile de Palme;vegetale;60;2.48;6.79;;56;;20;0;56;36;;;;;0
Algérie;Arachides Decortiquees;vegetale;5;0.28;0.38;0.21;55;;;;53;11;;2;0;44;0
Algérie;Vin;vegetale;0;0.01;;;55;;32;0;6;0;;50;;23;0
Arménie;Sucre, betterave;vegetale;;;;;55;1;;;0;;;55;;54;
Australie;Coco (Incl Coprah);vegetale;9;2.34;0.88;0.09;55;;;0;55;55;;;;0;0
Bulgarie;Oranges, Mandarines;vegetale;6;7.28;0.02;0.11;55;;;14;69;53;2;;;;
Cambodge;Patates douces;vegetale;9;3.45;0.03;0.09;55;;;0;;52;3;55;;;
Cameroun;Perciform;animale;2;2.47;0.04;0.46;55;;0;0;48;55;;7;;;
Croatie;Céréales, Autres;vegetale;7;0.72;0.02;0.19;55;52;;1;5;3;;50;0;0;0
Espagne;Haricots;vegetale;9;1.03;0.05;0.59;55;0;;4;47;48;3;11;4;;0
Fédération de Russie;Huile de Palmistes;vegetale;;;;;55;;55;0;55;;;;;;
Ghana;Huile d'Arachide;vegetale;51;2.12;5.82;;55;;;0;0;55;;55;;;0
Ghana;Plantes Oleiferes, Autre;vegetale;2;0.14;0.19;0.03;55;21;;86;21;4;1;34;;29;86
Mali;Abats Comestible;animale;11;3.57;0.39;1.62;55;;;0;0;55;;55;;;
Mozambique;Graines de coton;vegetale;;;;;55;;;25;0;;;80;3;52;
Népal;Bière;vegetale;3;1.98;;0.03;55;;;0;0;55;;55;;;
Oman;Viande de Bovins;animale;76;15.1;5.68;5.64;55;;;0;34;55;;21;;;0
Pakistan;Perciform;animale;0;0.19;0;0.07;55;20;0;73;2;35;;125;;;
Paraguay;Huile de Soja;vegetale;196;8.09;22.17;;55;;;519;4;55;;570;;;0
Philippines;Viande d'Ovins/Caprins;animale;2;0.56;0.15;0.24;55;;;;1;55;;55;;;
Pologne;Riz (Eq Blanchi);vegetale;10;0.95;0.04;0.2;55;15;1;93;151;36;;;;2;-2
République centrafricaine;Viande de Bovins;animale;62;11.92;4.64;4.77;55;;;;0;55;;55;;;
République de Corée;Café;vegetale;1;1.12;;0.2;55;;;94;149;55;;;;0;
Tchéquie (la);Beurre, Ghee;animale;101;5.15;11.45;0.13;55;;;4;19;55;;40;;;
Thaïlande;Agrumes, Autres;vegetale;0;0.09;0;0;8;;;6;2;6;;12;;2;0
Togo;Tomates;vegetale;5;7.93;0.06;0.24;55;;;0;49;54;1;6;;;0
Uruguay;Avoine;vegetale;1;0.2;0.02;0.04;55;50;;0;8;1;3;48;2;;0
Zimbabwe;Millet;vegetale;23;2.93;0.2;0.59;55;;;0;0;41;3;55;3;7;0
Égypte;Épices, Autres;vegetale;6;0.64;0.26;0.25;55;;;10;36;52;3;29;;;0
Afrique du Sud;Arachides Decortiquees;vegetale;11;0.71;0.91;0.48;54;;;13;38;38;1;29;2;13;0
Angola;Fruits, Autres;vegetale;3;2.33;0.03;0.03;54;;;0;14;50;4;40;;;
Australie;Huile de Tournesol;vegetale;48;2.18;5.45;0.04;54;;3;13;57;51;;20;;;-10
Botswana;Sorgho;vegetale;173;20.39;1.61;5.38;54;;;1;45;41;4;10;1;7;0
Cambodge;Lait - Excl Beurre;animale;6;3.47;0.24;0.3;54;;;0;30;52;1;23;;;0
Chine - RAS de Macao;Légumes, Autres;vegetale;64;94.73;0.48;3.13;54;;0;0;54;54;1;;;;0
Croatie;Bananes;vegetale;20;11.87;0.1;0.23;54;;;0;54;51;3;;;;
Danemark;Café;vegetale;12;9.54;;1.45;54;;;7;60;54;;;;;0
Israël;Abats Comestible;animale;24;6.52;0.76;3.71;54;;;0;4;50;4;51;;;
Japon;Huile d'Olive;vegetale;10;0.4;1.1;;54;;3;0;54;51;;;;;
Lesotho;Fruits, Autres;vegetale;23;25.21;0.15;0.24;54;;;0;35;52;2;20;;;0
Lesotho;Lait - Excl Beurre;animale;40;25.35;2;2.21;54;;;;12;53;1;42;;;0
Mali;Oignons;vegetale;3;3.17;0.01;0.1;54;;;0;10;49;5;44;;;
Nigéria;Poissons Marins, Autres;animale;1;0.31;0.03;0.12;54;;0;0;26;54;;28;;;
Nouvelle-Zélande;Oeufs;animale;38;9.91;2.7;2.91;54;;;4;1;45;2;57;8;;
Népal;Orge;vegetale;11;1.42;0.03;0.3;54;;;0;20;40;2;34;2;10;
Ouzbékistan;Viande de Volailles;animale;6;1.87;0.39;0.63;54;;;0;21;54;;33;;;
Panama;Viande de Suides;animale;47;13.48;3.49;3.59;54;;;0;20;52;2;34;;;0
Paraguay;Bananes;vegetale;8;4.79;0.01;0.1;54;6;;8;0;33;16;62;;;
Pologne;Soja;vegetale;1;0.06;0.03;0.06;54;;0;2;57;2;1;0;;51;0
République centrafricaine;Plantes Oleiferes, Autre;vegetale;60;5.46;5.07;2.72;54;0;18;0;0;25;7;54;4;;
République de Moldova;Tomates;vegetale;7;14.61;0.08;0.34;54;;;13;16;51;4;51;;0;0
République dominicaine;Orge;vegetale;0;0.03;;0;54;0;;0;54;0;;;;53;0
Sierra Leone;Blé;vegetale;75;8.72;0.56;2.03;54;;0;0;54;53;1;;;;0
Suède;Maïs;vegetale;9;1.05;0.04;0.22;54;22;21;1;55;10;;;;;0
Venezuela (République bolivarienne du);Huile de Tournesol;vegetale;43;1.78;4.81;0;54;;;0;25;54;;29;;;0
Zambie;Oeufs;animale;11;3.32;0.76;0.95;54;;;1;0;48;3;55;3;;
Émirats arabes unis;Viande de Bovins;animale;25;5.64;1.67;2.27;54;;;14;51;53;1;16;;;0
Afghanistan;Abats Comestible;animale;5;1.72;0.2;0.77;53;;;;;53;;53;;;
Arabie saoudite;Beurre, Ghee;animale;37;1.84;4.18;0.04;53;;;5;52;53;;7;;;
Arménie;Oignons;vegetale;15;17.57;0.1;0.53;53;;;0;7;52;0;45;;;0
Bolivie (État plurinational de);Huile de Soja;vegetale;47;1.95;5.33;;53;;32;304;3;21;;402;;;-48
Burkina Faso;Huile Graines de Coton;vegetale;75;3.1;8.5;;53;;;2;1;53;;53;;;
Chili;Ananas;vegetale;4;2.92;0.01;0.02;53;;;0;53;51;1;;;;0
Chine - RAS de Hong-Kong;Perciform;animale;10;7.42;0.31;1.75;53;0;0;12;22;53;;43;;;0
Croatie;Viande de Bovins;animale;74;12.41;5.83;4.97;53;;;5;12;53;;47;;;0
Djibouti;Lait - Excl Beurre;animale;105;59.81;5.86;5.5;53;;;0;53;52;1;16;;;-15
Gambie;Boissons Fermentés;vegetale;24;28.61;;0.39;53;;;;0;53;;53;;;
Guatemala;Huile de Palme;vegetale;45;1.88;5.13;0.01;53;;25;387;36;29;;402;;;3
Guinée;Palmistes;vegetale;;;;;53;;42;0;0;;;53;;11;
Géorgie;Viande de Volailles;animale;41;12.28;2.59;4.15;53;;;0;43;53;;10;;;
Irlande;Plantes Oleiferes, Autre;vegetale;1;0.06;0.07;0.03;53;51;2;1;54;0;;;;0;0
Jamaïque;Fruits, Autres;vegetale;18;17.64;0.17;0.22;53;;;24;29;49;5;48;;;0
Kazakhstan;Millet;vegetale;3;0.36;0.02;0.08;53;36;;1;0;6;10;54;1;;0
Koweït;Viande d'Ovins/Caprins;animale;111;15.61;9.62;5.78;53;;0;0;12;53;;41;;;0
Liban;Riz (Eq Blanchi);vegetale;110;10.84;0.21;2.11;53;0;0;1;63;52;1;;;;-10
Madagascar;Café;vegetale;3;2.05;;0.37;53;;;11;0;47;6;64;;;0
Malaisie;Noix;vegetale;12;1.95;0.87;0.3;53;;;26;63;58;0;16;;;0
Mozambique;Ananas;vegetale;2;1.85;0.01;0.02;53;;;;0;48;5;53;;;
Roumanie;Huile de Palme;vegetale;29;1.22;3.3;0.01;53;;30;8;61;26;;;;;
Roumanie;Poissons Eau Douce;animale;4;2.37;0.15;0.63;53;;2;2;44;51;;11;;;
République de Corée;Haricots;vegetale;10;1.03;0.04;0.61;53;;;0;43;51;2;10;0;;
Sri Lanka;Patates douces;vegetale;6;1.76;0.01;0.06;53;13;0;0;0;37;3;53;;;
Suède;Raisin;vegetale;10;5.16;0.03;0.09;53;;;7;59;49;3;;;;
Tchad;Pommes de Terre;vegetale;6;3.26;0.01;0.13;53;;;;0;42;8;53;3;;
Turkménistan;Oeufs;animale;30;7.88;2.12;2.31;53;;10;;2;41;;51;1;;
Venezuela (République bolivarienne du);Huile de Germe de Maïs;vegetale;42;1.73;4.75;;53;;;3;8;53;;48;;;
Équateur;Abats Comestible;animale;10;3.39;0.25;1.7;53;;;0;3;53;;50;;;
Éthiopie;Oranges, Mandarines;vegetale;0;0.51;0;0.01;53;;;4;11;48;5;45;;;
Argentine;Seigle;vegetale;0;0;0;0;52;34;;1;0;0;2;52;16;;0
Argentine;Viande, Autre;animale;3;1.04;0.09;0.52;52;;;20;1;43;9;70;;;0
Australie;Viande, Autre;animale;7;2.23;0.29;1.03;52;;;9;1;52;;61;;2;
Bangladesh;Haricots;vegetale;3;0.3;0.01;0.18;52;;;0;1;47;3;52;3;;
Bolivie (État plurinational de);Racines nda;vegetale;6;3.5;0.06;0.1;52;;;0;0;37;5;52;10;;0
Bulgarie;Graines Colza/Moutarde;vegetale;2;0;0;0;52;;;337;2;1;8;338;3;41;50
Bénin;Sucre, canne;vegetale;;;;;52;;;;;;;52;;52;
Chine - RAS de Hong-Kong;Graisses Animales Crue;animale;88;5.07;9.84;0.04;52;;16;18;25;37;;45;;;0
El Salvador;Bananes;vegetale;11;6.57;0.02;0.14;52;3;;0;52;42;8;;;;
Gabon;Maïs;vegetale;139;16;1.5;3.67;52;22;0;;7;27;2;45;1;;0
Grèce;Huile de Soja;vegetale;22;0.92;2.53;;52;;42;7;8;10;;52;;;0
Guatemala;Bananes plantains;vegetale;6;2.77;0.02;0.05;52;9;;146;1;43;0;197;;;
Guinée-Bissau;Bananes plantains;vegetale;59;24.39;0.13;0.54;52;;;0;0;42;10;52;;;
Honduras;Viande de Suides;animale;33;6.48;2.84;1.79;52;;;0;39;52;;13;;;0
Kirghizistan;Viande d'Ovins/Caprins;animale;57;8.67;4.78;3.23;52;;;0;0;48;4;52;;;
Malawi;Oignons;vegetale;3;3;0.01;0.09;52;;;0;0;49;3;52;;;
Myanmar;Patates douces;vegetale;2;0.87;0.01;0.02;52;;;;;46;5;52;;;
Niger;Abats Comestible;animale;9;2.9;0.27;1.38;52;;;0;0;52;;52;;;
Niger;Viande, Autre;animale;10;2.89;0.45;1.27;52;;;0;0;52;;51;;;0
Norvège;Pois;vegetale;41;4.85;0.19;2.7;52;1;25;5;56;24;1;1;0;;0
Népal;Poissons Eau Douce;animale;4;1.89;0.13;0.56;52;;0;0;0;52;;52;;;
Philippines;Arachides Decortiquees;vegetale;7;0.46;0.56;0.29;52;;;0;32;45;2;20;1;4;
République de Moldova;Oignons;vegetale;14;14.86;0.09;0.47;52;;;3;4;52;0;51;;0;0
Sao Tomé-et-Principe;Coco (Incl Coprah);vegetale;352;136.62;34.07;3.41;52;;;2;;26;4;54;;22;0
Suisse;Graisses Animales Crue;animale;74;4.07;8.27;0.01;52;;19;3;12;33;;43;;;0
Sénégal;Bananes;vegetale;5;3.32;0.01;0.09;52;;;0;17;47;5;35;;;
Turquie;Huil Plantes Oleif Autr;vegetale;5;0.23;0.55;0;52;;4;29;22;18;;54;;30;5
Ukraine;Miel;vegetale;9;1.15;;0.01;52;;;22;0;52;;74;;;
Vanuatu;Racines nda;vegetale;446;178.81;0.97;7.84;52;5;;0;;45;2;52;;;
Égypte;Graines de tournesol;vegetale;;;;;52;;;3;63;;2;19;1;49;-28
États-Unis d'Amérique;Agrumes, Autres;vegetale;0;0.16;0;0;52;;;148;159;52;;40;;;
Australie;Poissons Marins, Autres;animale;6;2.18;0.22;0.8;51;;0;2;42;51;;11;;;0
Bosnie-Herzégovine;Viande de Volailles;animale;44;13.17;2.77;4.48;51;;;5;14;50;;42;;0;0
Costa Rica;Haricots;vegetale;93;10.08;0.44;6.08;51;;;1;37;49;2;16;0;;0
Costa Rica;Viande de Suides;animale;33;10.28;2.39;2.64;51;;1;10;7;50;;54;;;0
Côte d'Ivoire;Millet;vegetale;13;1.53;0.14;0.31;51;;;0;1;31;6;50;1;14;0
Côte d'Ivoire;Sorgho;vegetale;13;1.7;0.1;0.35;51;9;;0;1;35;6;50;2;;0
Danemark;Crème;animale;49;9.14;4.83;0.68;51;;;21;23;51;;49;;;
Gabon;Lait - Excl Beurre;animale;54;30.16;2.61;2.8;51;;1;0;49;50;0;3;;;0
Guyana;Légumes, Autres;vegetale;55;58.73;0.36;2.54;51;;;2;8;47;5;45;;;0
Géorgie;Bière;vegetale;16;11.83;;0.16;51;;;4;8;51;;48;;;
Honduras;Oeufs;animale;18;5.19;1.22;1.41;51;;;0;0;42;1;51;8;;0
Inde;Avoine;vegetale;0;0.04;0;0.01;51;6;;1;52;45;;;;;0
Irlande;Oeufs;animale;35;8.96;2.43;2.77;51;;;7;11;41;5;47;5;;
Mozambique;Oeufs;animale;6;1.7;0.39;0.48;51;;;0;6;44;5;45;2;;
Mozambique;Oranges, Mandarines;vegetale;1;1.8;0.01;0.02;51;;;1;7;46;5;44;;;
Pays-Bas;Huile d'Arachide;vegetale;74;3.05;8.34;0;51;;0;3;7;51;;62;;0;-15
Pologne;Graines de tournesol;vegetale;;;;;51;;;4;51;;1;5;;50;
Pologne;Plantes Oleiferes, Autre;vegetale;1;0.04;0.05;0.02;51;4;4;11;41;2;1;21;0;40;0
Pérou;Palmistes;vegetale;;;;;51;;;0;0;;;51;;51;0
Roumanie;Café;vegetale;3;2.33;;0.39;51;;;12;63;51;;;;;
République démocratique populaire lao;Fruits, Autres;vegetale;9;7.15;0.08;0.11;51;;;9;4;48;3;56;;;
Suisse;Huile de Palme;vegetale;47;2.02;5.29;0.04;51;;34;2;53;16;;;;;0
Thaïlande;Racines nda;vegetale;15;5.15;0.03;0.26;345;;;5;1;345;;349;;;
Yémen;Pommes;vegetale;2;2.03;0.01;0;51;;;16;18;50;2;20;;;30
Égypte;Boissons Alcooliques;vegetale;0;0.05;;;51;;48;3;8;4;;47;;;0
Égypte;Sésame;vegetale;10;0.6;0.88;0.31;51;;;9;22;49;2;33;0;;5
Bosnie-Herzégovine;Céréales, Autres;vegetale;4;0.6;0.02;0.13;50;48;;0;3;2;;48;;;0
Bosnie-Herzégovine;Graines de tournesol;vegetale;;;;;50;;;0;50;;;0;0;50;0
Bosnie-Herzégovine;Huile de Tournesol;vegetale;124;5.1;14.02;0.03;50;;30;33;61;20;;21;;;0
Brésil;Pois;vegetale;2;0.25;0.01;0.15;50;;;0;45;50;;5;;;
Burkina Faso;Poissons Marins, Autres;animale;5;2.93;0.1;1.03;50;;0;0;50;50;;;;;0
Canada;Patates douces;vegetale;3;1.4;0.01;0.05;50;;;1;51;49;1;;;;
Croatie;Huile de Tournesol;vegetale;114;4.69;12.85;;50;;30;2;45;20;;13;;;-5
Danemark;Oignons;vegetale;9;8.28;0.05;0.27;50;;;11;12;47;4;48;;;
Fidji;Sucre Eq Brut;vegetale;325;37.34;;;50;;17;93;30;33;;232;;;-119
Guinée;Coco (Incl Coprah);vegetale;11;2.13;1.01;0.1;50;;;0;0;25;;50;;25;
Inde;Feve de Cacao;vegetale;0;0.04;0.01;0.01;50;;;6;42;50;;13;;;0
Mexique;Sésame;vegetale;3;0.18;0.25;0.09;50;;;8;16;22;;42;1;27;0
Nicaragua;Oranges, Mandarines;vegetale;3;5.62;0.01;0.06;50;;;66;16;34;15;99;;;0
Pologne;Huile de Sésame;vegetale;0;0;0;0;50;;50;16;61;0;;5;;;0
Portugal;Seigle;vegetale;29;4.09;0.1;0.73;50;2;;0;33;43;1;18;4;;0
Slovaquie;Huile de Colza&Moutarde;vegetale;187;7.69;21.16;0.06;50;;8;98;84;42;;48;;0;15
Slovénie;Viande de Volailles;animale;80;23.46;4.9;8.31;50;;;24;17;49;;57;;1;
Sri Lanka;Épices, Autres;vegetale;22;2.41;0.63;0.79;50;;;17;27;51;;39;;;0
Suisse;Edulcorants Autres;vegetale;31;3.62;;0;50;;21;154;135;29;;33;;;36
Suisse;Poissons Eau Douce;animale;10;6.16;0.36;1.57;50;;0;1;47;50;;3;;;
Tadjikistan;Huile Graines de Coton;vegetale;124;5.12;14.02;0;50;;8;;34;42;;16;;;0
Togo;Graines de coton;vegetale;;;;;50;;1;21;0;;;45;4;45;26
Togo;Poissons Marins, Autres;animale;13;7.4;0.45;2.16;50;;0;0;50;50;;0;;;0
Afrique du Sud;Avoine;vegetale;5;0.75;0.09;0.16;49;8;;4;25;40;1;28;1;;0
Afrique du Sud;Café;vegetale;1;0.93;;0.06;49;;;15;64;49;;;;0;0
Albanie;Viande d'Ovins/Caprins;animale;85;15.32;6.72;5.66;49;;;0;0;49;;49;;;
Algérie;Graines Colza/Moutarde;vegetale;0;0;0;0;49;;;0;2;1;5;47;0;42;
Arabie saoudite;Viande, Autre;animale;8;1.71;0.62;0.6;49;;;0;0;49;;49;;;0
Argentine;Café;vegetale;2;1.18;;0.17;49;;;1;50;49;;;;;0
Burkina Faso;Huile de Palme;vegetale;63;2.59;7.1;;49;;5;0;69;44;;;;;-20
Cameroun;Sésame;vegetale;19;1.24;1.64;0.61;49;;15;0;;28;6;49;1;;0
Cameroun;Épices, Autres;vegetale;10;1.08;0.18;0.27;49;;25;0;0;24;;49;;;0
Côte d'Ivoire;Viande de Volailles;animale;8;2.4;0.51;0.81;49;;;0;1;49;;48;;;
Danemark;Raisin;vegetale;16;8.52;0.05;0.15;49;;;8;56;48;1;;;;0
Ghana;Abats Comestible;animale;6;1.89;0.16;0.92;49;;;;36;49;;13;;;
Guatemala;Café;vegetale;4;3.07;;0.45;49;;;218;14;47;1;253;;;0
Géorgie;Huile de Tournesol;vegetale;90;3.74;10.23;;49;;33;4;44;16;;9;;;0
Honduras;Edulcorants Autres;vegetale;41;6.1;;;49;;0;5;45;49;;9;;;0
Iraq;Bière;vegetale;2;1.45;;0.02;49;;;0;49;49;;0;;;
Irlande;Boissons Alcooliques;vegetale;70;8.64;;;49;;9;124;42;40;;131;;;0
Italie;Pamplemousse;vegetale;1;0.77;0;0.01;49;;;7;48;47;2;8;;;0
Kenya;Noix;vegetale;8;1.08;0.75;0.22;49;;;7;2;48;1;54;;;0
Lituanie;Edulcorants Autres;vegetale;86;13.61;;0;49;4;4;36;44;41;;36;;0;5
Malaisie;Aliments pour enfants;vegetale;17;1.64;0.13;0.68;49;;;28;77;49;;;;;0
Maurice;Viande de Volailles;animale;129;38.51;8.08;13.11;49;;1;0;2;48;;47;;;
Mozambique;Alcool, non Comestible;vegetale;;;;;49;;49;;49;;;;;;
Namibie;Pommes;vegetale;13;21.31;0.05;0.03;49;;;2;51;49;;;;;0
Pays-Bas;Poissons Eau Douce;animale;5;2.93;0.2;0.81;49;0;0;97;141;49;;5;;;0
Portugal;Abats Comestible;animale;14;4.63;0.43;2.3;49;;0;12;7;49;;54;;;0
Roumanie;Piments;vegetale;20;2.26;1.07;0.74;49;;;0;1;49;;48;;;
République démocratique populaire lao;Viande de Bovins;animale;32;7.29;2.39;2.56;49;;;;0;49;;49;;;
Soudan;Riz (Eq Blanchi);vegetale;14;1.27;0.05;0.28;49;;;;33;48;;17;1;;0
Tadjikistan;Légumineuses Autres;vegetale;;;;;49;48;;0;1;;1;48;0;;0
Thaïlande;Raisin;vegetale;4;2.58;0.03;0.04;181;;;5;106;173;8;80;;0;0
Uruguay;Pommes;vegetale;17;12.26;0.1;0.1;49;;;1;4;42;5;46;;2;0
Émirats arabes unis;Boissons Alcooliques;vegetale;;;;;49;;49;10;58;;;;;;
Îles Salomon;Riz (Eq Blanchi);vegetale;623;63.76;1.36;10.9;49;0;12;0;47;36;1;3;0;;0
Afrique du Sud;Ananas;vegetale;1;0.81;0;0.01;48;;;72;14;43;5;101;;;4
Afrique du Sud;Viande, Autre;animale;3;0.88;0.07;0.44;48;2;;4;2;46;;50;;;0
Arabie saoudite;Huile de Germe de Maïs;vegetale;40;1.66;4.54;;48;;;35;83;48;;;;;0
Burkina Faso;Poissons Pelagiques;animale;6;2.7;0.25;0.84;48;3;0;0;48;46;;;;;
Canada;Coco (Incl Coprah);vegetale;5;1.35;0.5;0.05;48;;0;6;53;48;;;;;
Chypre;Bière;vegetale;44;32.25;;0.35;48;;11;1;15;37;;33;;;
Congo;Lait - Excl Beurre;animale;20;10.69;0.92;0.98;48;;0;0;46;48;;1;;;
Côte d'Ivoire;Oranges, Mandarines;vegetale;1;1.62;0.01;0.02;48;;;12;17;33;5;43;;10;
Côte d'Ivoire;Patates douces;vegetale;5;2;0.01;0.07;48;;;0;0;41;7;48;;;
France;Manioc;vegetale;;;;;48;14;34;2;50;;;;;;
Gambie;Huile de Palme;vegetale;211;8.7;23.84;;48;;32;0;45;16;;3;;;0
Guatemala;Soja;vegetale;3;0.32;0.14;0.29;48;1;;1;11;5;;38;1;41;0
Guinée;Poissons Pelagiques;animale;8;3.99;0.33;1.28;48;1;0;1;3;47;;45;;;
Koweït;Oeufs;animale;48;12.6;3.38;3.69;48;;;11;2;42;3;57;3;;
Libéria;Bananes plantains;vegetale;25;10.36;0.06;0.23;48;;;;0;44;4;48;;;
Lituanie;Oranges, Mandarines;vegetale;11;15.79;0.03;0.19;48;;;67;114;48;;;;;0
Mozambique;Millet;vegetale;12;1.68;0.05;0.21;48;;;0;0;44;2;48;2;;0
Mozambique;Noix;vegetale;8;1.86;0.65;0.23;48;;;19;2;48;1;65;;;0
Myanmar;Graisses Animales Crue;animale;18;0.89;1.95;0.1;48;;0;;3;48;;45;;;
Myanmar;Viande d'Ovins/Caprins;animale;4;0.89;0.28;0.37;48;;;;0;48;;48;;;
Namibie;Légumes, Autres;vegetale;18;19.76;0.13;0.79;48;0;;12;24;45;2;36;;;0
Niger;Huile de Palme;vegetale;58;2.41;6.62;;48;;5;8;56;43;;;;;0
Oman;Viande d'Ovins/Caprins;animale;73;12.87;5.81;4.83;48;;;0;11;47;1;37;;;
Ouganda;Fruits, Autres;vegetale;2;1.41;0.02;0.02;48;;;11;6;53;5;53;;;0
Paraguay;Graines Colza/Moutarde;vegetale;2;0;0;0;48;;;24;1;1;2;70;0;44;
Pérou;Avoine;vegetale;0;0.01;0;0;48;45;;1;36;0;2;13;1;;
République de Moldova;Fruits, Autres;vegetale;15;11.57;0.13;0.24;48;;;70;19;40;8;99;;0;0
Sierra Leone;Perciform;animale;9;7.87;0.17;1.79;48;;0;0;0;48;;48;;;
Slovaquie;Graines de tournesol;vegetale;;;;;48;1;;269;9;;3;196;3;42;113
Soudan;Céréales, Autres;vegetale;12;1.28;0.05;0.28;48;;;0;49;48;;;;;
Soudan;Viande de Volailles;animale;4;1.25;0.27;0.45;48;;;0;2;48;;46;;;
Suède;Edulcorants Autres;vegetale;16;2.79;;;48;;21;51;77;27;;22;;;0
Suède;Noix;vegetale;32;4.93;2.92;0.88;48;;;5;53;47;1;;;;0
Tchéquie (la);Soja;vegetale;7;0.82;0.4;0.85;48;;;4;38;9;1;13;0;38;0
Turquie;Dattes;vegetale;4;0.64;0.01;0.03;48;;;3;18;48;;33;;;
Venezuela (République bolivarienne du);Sucre non centrifugé;vegetale;15;1.59;;0.02;48;;;0;0;48;;48;;;
Zambie;Viande de Volailles;animale;11;3.29;0.69;1.11;48;;;0;2;48;;46;;;
Afghanistan;Oeufs;animale;5;1.3;0.36;0.38;47;;;;29;40;5;18;2;;
Albanie;Oeufs;animale;46;12.45;3.28;3.65;47;;;1;0;40;7;48;0;;
Allemagne;Coco (Incl Coprah);vegetale;2;0.56;0.2;0.02;47;;;34;81;46;0;;;0;0
Australie;Boissons Fermentés;vegetale;3;2.01;;0.01;47;;;1;36;47;;12;;;
Australie;Graines de tournesol;vegetale;;;;;47;;;1;3;;;44;0;47;
Autriche;Beurre, Ghee;animale;109;5.54;12.31;0.14;47;;0;2;14;47;;35;;;
Belgique;Bananes;vegetale;7;4.26;0.04;0.08;47;;;1228;1275;47;0;;;;0
Bolivie (État plurinational de);Ananas;vegetale;3;3.91;0.01;0.02;47;;;3;0;42;5;49;;;0
Bosnie-Herzégovine;Oignons;vegetale;9;11.12;0.06;0.33;47;;;0;8;43;5;40;;;
Canada;Haricots;vegetale;9;0.94;0.04;0.58;47;;;294;70;33;5;206;9;;65
El Salvador;Manioc;vegetale;16;6.56;0.05;0.13;47;;2;0;9;42;4;39;;;0
Eswatini;Blé;vegetale;313;37.15;2.29;8.53;47;;0;0;47;46;1;1;0;;0
Finlande;Graisses Animales Crue;animale;36;1.5;4.09;0;47;;39;6;38;8;;15;;0;0
Haïti;Huile de Soja;vegetale;110;4.53;12.4;;47;;;;51;47;;;;;-5
Haïti;Viande de Bovins;animale;27;4.6;2.18;1.78;47;;;0;1;47;;47;;;
Indonésie;Raisin;vegetale;0;0.19;0;0;47;;;0;47;47;;;;;0
Italie;Aliments pour enfants;vegetale;8;0.77;0.06;0.32;47;;;0;47;47;;;;;
Jordanie;Oignons;vegetale;7;5.78;0.03;0.22;47;;;2;36;42;5;13;;;
Kirghizistan;Fruits, Autres;vegetale;9;7.42;0.08;0.13;47;;;50;6;41;6;90;;;0
Liban;Huile de Tournesol;vegetale;87;3.59;9.85;;47;;30;6;67;17;;1;;;-15
Libéria;Blé;vegetale;99;10.95;0.85;2.29;47;;;19;44;47;0;;;;22
Macédoine du Nord;Oignons;vegetale;18;19.69;0.11;0.6;47;;;8;4;41;5;51;;;
Malaisie;Piments;vegetale;12;1.58;0.54;0.5;47;;;4;49;47;;2;;;
Mali;Viande de Volailles;animale;10;3.07;0.64;1.05;47;;;0;3;47;;44;;;
Maroc;Avoine;vegetale;1;0.13;0.01;0.02;47;36;;0;0;4;3;46;3;;0
Maroc;Poissons Marins, Autres;animale;2;1.42;0.08;0.4;47;;0;1;3;47;;45;;;0
Norvège;Café;vegetale;12;9.27;;1.5;47;;;1;48;47;;;;;
Ouganda;Plantes Oleiferes, Autre;vegetale;0;0.02;0.01;0.01;47;;0;2;0;1;;46;0;46;2
Ouganda;Viande d'Ovins/Caprins;animale;6;1.25;0.38;0.52;47;;;0;0;47;;47;;;
Roumanie;Bananes plantains;vegetale;4;2.18;0.02;0.05;47;;;0;47;47;;;;;
Royaume-Uni;Épices, Autres;vegetale;7;0.74;0.23;0.22;47;;;10;57;47;;;;;0
République centrafricaine;Sorgho;vegetale;76;8.93;0.73;2.22;47;1;;;0;41;3;47;2;;0
Serbie;Bananes;vegetale;8;4.99;0.04;0.1;47;;;1;48;47;;;;;
Sénégal;Orge;vegetale;0;0;;;47;;45;18;65;0;;;;2;0
